seal_sha256,draw,pipeline,axis,classification,n_transforms,n_correct,n_wrong,n_invariant,n_null,n_unresolved,reason
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,unstable,2,0,0,0,2,0,"mix of 0 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_constant,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_constant,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_constant,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_constant,rule_threshold,ignored-candidate,6,0,0,6,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_constant,rule_clause,ignored-candidate,2,0,0,2,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_constant,case_fact,ignored-candidate,6,0,0,6,0,0,schema declares axis causal; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_ruleblind,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_ruleblind,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_ruleblind,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_ruleblind,rule_threshold,ignored-candidate,6,0,0,6,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_ruleblind,rule_clause,ignored-candidate,2,0,0,2,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_ruleblind,case_fact,unstable,6,0,0,4,2,0,"mix of 4 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_track,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_track,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_track,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_track,rule_threshold,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_track,rule_clause,unstable,2,0,0,0,2,0,"mix of 0 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_track,case_fact,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstatic,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstatic,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstatic,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstatic,rule_threshold,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstatic,rule_clause,unstable,2,0,0,0,2,0,"mix of 0 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstatic,case_fact,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_threshold,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_clause,unstable,2,0,0,0,2,0,"mix of 0 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,case_fact,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_constant,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_constant,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_constant,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_constant,rule_threshold,ignored-candidate,6,0,0,6,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_constant,rule_clause,ignored-candidate,2,0,0,2,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_constant,case_fact,ignored-candidate,6,0,0,6,0,0,schema declares axis causal; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_ruleblind,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_ruleblind,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_ruleblind,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_ruleblind,rule_threshold,ignored-candidate,6,0,0,6,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_ruleblind,rule_clause,ignored-candidate,2,0,0,2,0,0,schema declares axis rule_bearing; uniform R^Ω_eq on a rule-bearing/causal axis is the rule-blind signal
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_ruleblind,case_fact,unstable,6,0,0,4,2,0,"mix of 4 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_track,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_track,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_track,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_track,rule_threshold,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_track,rule_clause,unstable,2,0,0,0,2,0,"mix of 0 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_track,case_fact,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstatic,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstatic,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstatic,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstatic,rule_threshold,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstatic,rule_clause,unstable,2,0,0,0,2,0,"mix of 0 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstatic,case_fact,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstochastic,order,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstochastic,optional,invariant-candidate,2,0,0,2,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstochastic,non_rule_fact,invariant-candidate,3,0,0,3,0,0,schema declares axis non-causal; uniform R^Ω_eq
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstochastic,rule_threshold,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstochastic,rule_clause,unstable,2,0,0,0,2,0,"mix of 0 invariant, 2 null, 0 correct, 0 wrong"
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,2,f_wrongstochastic,case_fact,unstable,6,0,0,0,6,0,"mix of 0 invariant, 6 null, 0 correct, 0 wrong"
